,Square Name,Probability of Visiting
0,Jail / Just Visiting,0.058376940775466915
1,Chance2,0.032286962866210384
2,Free Parking,0.030724196193413458
3,Electric Company,0.030235309304205153
4,Tennessee Avenue,0.029482473376464237
5,Go,0.028675415268955853
6,Water Works,0.02848425738183303
7,Illinois Avenue,0.028422125505100534
8,B. & O. Railroad,0.028240885773206614
9,Virginia Avenue,0.02821424906305178
10,Reading Railroad,0.028209586633619856
11,St. James Place,0.027563189671805932
12,Go To Jail,0.025282487675709477
13,Marvin Gardens,0.02525697001151632
14,St. Charles Place,0.025251207147872653
15,Ventnor Avenue,0.024970754866343755
16,Atlantic Avenue,0.024767965685555355
17,Boardwalk,0.024472247177226084
18,Pacific Avenue,0.024431091675182842
19,Community Chest3,0.023971606758277794
20,North Carolina Avenue,0.023450824503849572
21,Indiana Avenue,0.02332044281040487
22,Short Line,0.023153738904805765
23,New York Avenue,0.023038563019783118
24,Kentucky Avenue,0.022296092128956432
25,Income Tax,0.022044101440707283
26,Pennsylvania Avenue,0.021770678460074196
27,Oriental Avenue,0.021320539244587555
28,Connecticut Avenue,0.02126693613491354
29,Chance1,0.02124054527016813
30,Vermont Avenue,0.02121036299562703
31,Community Chest1,0.020733352912610425
32,Baltic Avenue,0.020616258324366633
33,Mediterranean Avenue,0.02030451386187787
34,Luxury Tax,0.019817593272684272
35,Park Place,0.019666825197226484
36,States Avenue,0.019633761838946627
37,Chance3,0.01950922125262856
38,Community Chest2,0.019445185084586415
39,Pennsylvania Railroad,0.018840540530177183
